aglomerado,suscetiveis,leitos_uti,leitos_atendimento,data,taxa_ocupacao,perc_atendimento,perc_uti,perc_mortalidade,perc_nao_detectados,inf_prob,act_rate,dias_rec,tm,regiao,mse
Acorizal,5399,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.000578408,11.26114265,0.13146263,3.6,Baixada Cuiabana,73.35714286
Agua Boa,24032,0,77,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.081474908,1.301868836,7.907167117,3.6,Agua Boa,1.285714286
Alta Floresta,51782,19,141,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.022748165,8.133525018,17.33997058,3.6,Alta Floresta,196.5714286
Alto Araguaia,19044,0,98,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.054523451,1.078154525,9.024729521,3.6,Rondonopolis,7.071428571
Alto Boa Vista,6822,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.033524525,7.529224366,13.97148402,3.6,Sao Felix do Araguaia,76.07142857
Alto Garcas,12030,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,Rondonopolis,18.07142857
Alto Paraguai,11356,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Diamantino,1E+100
Araputanga,16822,0,19,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.01486817,11.68257726,25.79140772,3.6,Caceres,8.571428571
Arenapolis,9607,0,10,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.029277594,15.38251872,5.256210421,3.6,Diamantino,9.5
Aripuana,22354,0,33,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.034188896,4.634789074,4.422936426,3.6,Juina,50.28571429
Barao de Melgaco,8564,0,11,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.018119372,5.225322236,58.71868991,3.6,Baixada Cuiabana,2594.357143
Barra do Bugres,34966,0,59,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.084689094,0.20750504,0.489970285,3.6,Tangara da Serra,7.642857143
Barra do Garcas,61012,20,114,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.00394462,4.043398964,0.000634968,3.6,Barra do Garcas,221.8571429
Bom Jesus do Araguaia,6580,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.00606174,24.45733439,16.23652967,3.6,Sao Felix do Araguaia,17.35714286
Brasnorte,19695,0,31,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.011999679,9.355964802,17.00140937,3.6,Juina,2
Caceres,94376,26,225,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.007697951,19.86185279,20.79477375,3.6,Caceres,14.5
Campinapolis,15980,0,24,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.000920536,1.013761257,0.002561003,3.6,Barra do Garcas,237.1428571
Campo Novo do Parecis,35360,0,32,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.001975299,34.20378773,0.010669338,3.6,Tangara da Serra,288.1428571
Campo Verde,44041,0,67,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.09021648,1.657410632,11.43778493,3.6,Rondonopolis,34.35714286
Campos de Julio,6891,0,16,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.016713264,9.351203612,12.01521202,3.6,Pontes e Lacerda,20.5
Cana Brava do Norte,4743,0,9,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.033994907,5.04224063,19.64299745,3.6,Porto Alegre do Norte,9.071428571
Canarana,21579,0,48,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.026637093,2.70340298,11.68154418,3.6,Agua Boa,4.428571429
Castanheira,8729,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.021835574,3.896483616,12.13136724,3.6,Juina,1.928571429
Chapada dos Guimaraes,19752,0,2,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.070098842,2.075909865,15.27335803,3.6,Baixada Cuiabana,2.428571429
Claudia,12149,0,23,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.013002357,6.56836148,0.778223689,3.6,Sinop,409.6428571
Colider,33438,14,113,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.053796996,4.15019091,14.13541749,3.6,Colider,22.21428571
Colniza,38582,0,31,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Juina,1E+100
Comodoro,20763,0,42,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.003540576,25.33625839,9.524737657,3.6,Pontes e Lacerda,3.571428571
Confresa,30933,0,53,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.02807604,3.560886552,8.387985719,3.6,Porto Alegre do Norte,278.0714286
Conquista do Oeste,4038,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.01926328,0.050564883,65.96994076,3.6,Pontes e Lacerda,0
Cotriguacu,19750,0,33,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.022829474,6.255871702,18.35939971,3.6,Juina,1.214285714
Cuiaba,612547,419,1898,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.011917025,6.917962399,62.20009107,3.6,Baixada Cuiabana,1421.071429
Curvelandia,5219,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Caceres,1.714285714
Denise,9462,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.041736166,3.559643653,0.983200816,3.6,Tangara da Serra,239.2142857
Diamantino,22041,0,46,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Diamantino,1E+100
Dom Aquino,8178,0,20,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.036130359,6.287107813,10.10486165,3.6,Rondonopolis,2
Feliz Natal,14192,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.016811648,6.61415328,0.605459625,3.6,Sinop,43.92857143
Figueiropolis do Oeste,3494,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.006687072,21.07375913,19.56885525,3.6,Pontes e Lacerda,14.28571429
Gaucha do Norte,7648,0,17,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.084144217,1.842648379,68.39961682,3.6,Agua Boa,0.642857143
General Carneiro,5540,0,15,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.000681687,0.571260861,0.004080071,3.6,Barra do Garcas,425.4285714
Guaranta do Norte,35016,0,48,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.031336536,5.179203401,15.7130672,3.6,Peixoto de Azevedo,104
Guiratinga,15141,0,22,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.037682064,6.415540184,20.44609349,3.6,Rondonopolis,2.428571429
Indiavai,2752,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.007697951,19.86185279,20.79477375,3.6,Caceres,14.5
Ipiranga do Norte,7667,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sinop,1E+100
Itanhanga,6737,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.026663023,6.941391743,8.402639483,3.6,Sinop,53.85714286
Itauba,3802,0,16,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.096965831,1.441592123,21.41825256,3.6,Colider,3.714285714
Itiquira,13345,0,35,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.01308958,9.209578687,92.82725535,3.6,Rondonopolis,20.64285714
Jaciara,27776,0,60,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.031307538,4.441839122,8.679260167,3.6,Rondonopolis,110.3571429
Jangada,8409,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.013727939,1.493087686,7.995238902,3.6,Baixada Cuiabana,0.5
Jauru,8793,0,37,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0276,7.683,8.088,3.6,Pontes e Lacerda,1E+100
Juara,34974,0,65,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.007407742,6.150306268,27.42682255,3.6,Juara,1.428571429
Juina,40997,16,129,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.021835574,3.896483616,12.13136724,3.6,Juina,1.928571429
Juruena,15865,0,19,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.018541782,3.794934788,11.29147061,3.6,Juina,1.357142857
Juscimeira,11221,0,33,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.027239797,4.468100571,8.867939317,3.6,Rondonopolis,1.5
Lambari do Oeste,6121,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.045131876,7.015998304,9.434291514,3.6,Caceres,14.35714286
Lucas do Rio Verde,65534,10,101,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.001555362,53.92293648,39.93806395,3.6,Sinop,98.64285714
Luciara,2077,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sao Felix do Araguaia,1E+100
Marcelandia,10499,0,11,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.022807737,4.5340553,8.853343193,3.6,Colider,10.28571429
Matupa,16566,0,44,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.008567549,5.578194311,23.38120337,3.6,Peixoto de Azevedo,12.07142857
Mirassol do Oeste,27739,0,90,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.00826254,1.27334137,0.09951453,3.6,Caceres,16.92857143
Nobres,15336,0,41,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.074837313,1.948607645,26.36243646,3.6,Diamantino,1.5
Nortelandia,5989,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Diamantino,1E+100
Nossa Senhora do Livramento,13216,0,16,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.05000326,3.430787637,18.30994359,3.6,Baixada Cuiabana,18.71428571
Nova Brasilandia,3829,0,13,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.017268701,5.024123437,67.58167405,3.6,Baixada Cuiabana,868.5714286
Nova Canaa do Norte,12787,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.053796996,4.15019091,14.13541749,3.6,Colider,22.21428571
Nova Guarita,4519,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Colider,1E+100
Nova Lacerda,6640,0,6,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.023082817,7.003369296,15.05858274,3.6,Pontes e Lacerda,0.571428571
Nova Marilandia,3278,0,8,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.007513109,7.801712967,0.400176674,3.6,Tangara da Serra,862.6428571
Nova Maringa,22041,0,6,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Diamantino,1E+100
Nova Monte Verde,9178,0,13,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Alta Floresta,1E+100
Nova Mutum,45378,0,37,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.015160058,14.80239384,12.18412346,3.6,Sinop,50.71428571
Nova Olimpia,20301,0,50,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.031577861,3.533552254,10.00548594,3.6,Tangara da Serra,1
Nova Santa Helena,3718,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.017290905,3.138377522,11.00905637,3.6,Colider,1
Nova Ubirata,11982,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.036300879,1.053110746,12.46543861,3.6,Sinop,8.428571429
Nova Xavantina,21374,0,34,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Barra do Garcas,1E+100
Novo Mundo,9178,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.060671444,0.531418662,4.121809775,3.6,Peixoto de Azevedo,6.5
Novo Santo Antonio,2640,0,0,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.025406395,8.455773802,6.823001017,3.6,Sao Felix do Araguaia,5.928571429
Paranaita,11225,0,32,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.016163788,4.999584583,11.78338213,3.6,Alta Floresta,3.428571429
Paranatinga,22563,0,35,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.035174527,3.959561107,31.99503328,3.6,Rondonopolis,282.6428571
Pedra Preta,17626,0,31,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.004028778,28.60844282,29.07039282,3.6,Rondonopolis,12.42857143
Peixoto de Azevedo,34976,0,56,19/06/2020,0.058,0.2,0.01,0.005,0.6,0.006007872,14.51093146,13.41160621,3.6,Peixoto de Azevedo,14.21428571
