"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5387,18,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,5,7,-0.18,-3.6,"Baixada Cuiabana"
2,5387,18,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,5,7,-0.18,-3.6,"Baixada Cuiabana"
3,5388,19,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,5,7,-0.19,-3.8,"Baixada Cuiabana"
4,5385,22,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,6,7,-0.22,-4.4,"Baixada Cuiabana"
5,5384,23,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,7,-0.23,-4.6,"Baixada Cuiabana"
6,5385,23,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,7,-0.23,-4.6,"Baixada Cuiabana"
7,5383,25,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,7,-0.25,-5,"Baixada Cuiabana"
8,5383,25,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,7,-0.25,-5,"Baixada Cuiabana"
9,5382,26,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,7,-0.26,-5.2,"Baixada Cuiabana"
10,5381,27,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,8,7,-0.27,-5.4,"Baixada Cuiabana"
11,5380,29,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,8,7,-0.29,-5.8,"Baixada Cuiabana"
12,5379,31,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,7,-0.31,-6.2,"Baixada Cuiabana"
13,5378,32,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,7,-0.32,-6.4,"Baixada Cuiabana"
14,5375,35,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,10,7,-0.35,-7,"Baixada Cuiabana"
15,5372,38,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,7,-0.38,-7.6,"Baixada Cuiabana"
16,5372,38,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,7,-0.38,-7.6,"Baixada Cuiabana"
17,5369,41,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,12,7,-0.41,-8.2,"Baixada Cuiabana"
18,5368,43,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,12,7,-0.43,-8.6,"Baixada Cuiabana"
19,5363,48,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,14,7,-0.48,-9.6,"Baixada Cuiabana"
20,5363,49,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,14,7,-0.49,-9.8,"Baixada Cuiabana"
21,5358,53,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,15,7,-0.53,-10.6,"Baixada Cuiabana"
22,5355,56,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,16,7,-0.56,-11.2,"Baixada Cuiabana"
23,5352,59,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,17,7,-0.59,-11.8,"Baixada Cuiabana"
24,5348,63,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,18,7,-0.63,-12.6,"Baixada Cuiabana"
25,5345,67,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,19,7,-0.67,-13.4,"Baixada Cuiabana"
26,5342,70,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,20,7,-0.7,-14,"Baixada Cuiabana"
27,5339,73,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,21,7,-0.73,-14.6,"Baixada Cuiabana"
28,5333,79,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,23,7,-0.79,-15.8,"Baixada Cuiabana"
29,5331,81,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,23,7,-0.81,-16.2,"Baixada Cuiabana"
30,5327,84,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,24,7,-0.84,-16.8,"Baixada Cuiabana"
31,5321,92,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,26,7,-0.92,-18.4,"Baixada Cuiabana"
32,5315,98,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,28,7,-0.98,-19.6,"Baixada Cuiabana"
33,5310,103,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,29,7,-1.03,-20.6,"Baixada Cuiabana"
34,5305,108,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,31,7,-1.08,-21.6,"Baixada Cuiabana"
35,5299,114,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,33,7,-1.14,-22.8,"Baixada Cuiabana"
36,5295,118,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,34,7,-1.18,-23.6,"Baixada Cuiabana"
37,5287,126,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,36,7,-1.26,-25.2,"Baixada Cuiabana"
38,5282,131,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,37,7,-1.31,-26.2,"Baixada Cuiabana"
39,5278,135,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,39,7,-1.35,-27,"Baixada Cuiabana"
40,5269,144,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,41,7,-1.44,-28.8,"Baixada Cuiabana"
41,5257,155,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,44,7,-1.55,-31,"Baixada Cuiabana"
42,5247,165,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,47,7,-1.65,-33,"Baixada Cuiabana"
43,5242,169,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,48,7,-1.69,-33.8,"Baixada Cuiabana"
44,5232,179,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,51,7,-1.79,-35.8,"Baixada Cuiabana"
45,5224,187,24,0.004320284,12.0486945,0.500949354,0.036,"09062020-230243",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,53,7,-1.87,-37.4,"Baixada Cuiabana"
