"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5390,32,0,0.0306,7.683,8.088,0.036,"29052020-214025",2020-05-30,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,0,-0.32,-6.4,"Baixada Cuiabana"
2,5383.8,34,4.4,0.0306,7.683,8.088,0.036,"29052020-214025",2020-05-31,"Acorizal",0.058,0.2,0.01,0.005,0.6,10,1,-0.34,-6.8,"Baixada Cuiabana"
3,5377.8,33.2,11.4,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-01,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,3,-0.332,-6.64,"Baixada Cuiabana"
4,5370.6,34.8,16.8,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-02,"Acorizal",0.058,0.2,0.01,0.005,0.6,10,5,-0.348,-6.96,"Baixada Cuiabana"
5,5360,39.8,22.2,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-03,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,6,-0.398,-7.96,"Baixada Cuiabana"
6,5350,42.8,28.8,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-04,"Acorizal",0.058,0.2,0.01,0.005,0.6,12,8,-0.428,-8.56,"Baixada Cuiabana"
7,5340,44.6,37,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-05,"Acorizal",0.058,0.2,0.01,0.005,0.6,13,11,-0.446,-8.92,"Baixada Cuiabana"
8,5326.4,52,43,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-06,"Acorizal",0.058,0.2,0.01,0.005,0.6,15,12,-0.52,-10.4,"Baixada Cuiabana"
9,5316,56.6,48.8,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-07,"Acorizal",0.058,0.2,0.01,0.005,0.6,16,14,-0.566,-11.32,"Baixada Cuiabana"
10,5302.8,59,59.6,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-08,"Acorizal",0.058,0.2,0.01,0.005,0.6,17,17,-0.59,-11.8,"Baixada Cuiabana"
11,5288.4,64.2,68.4,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-09,"Acorizal",0.058,0.2,0.01,0.005,0.6,18,20,-0.642,-12.84,"Baixada Cuiabana"
12,5271.6,70.8,78.8,0.0306,7.683,8.088,0.036,"29052020-214025",2020-06-10,"Acorizal",0.058,0.2,0.01,0.005,0.6,20,23,-0.708,-14.16,"Baixada Cuiabana"
