municipio,cod_ibge,ers,infectados_n,recuperados_n,obitos_n,r_025,r_500,r_975,r_mm7,n_va,p_va,risco
Alta Floresta,5100250,Alta Floresta,15,20,3,0.045823172,0.198059557,0.535110757,0.929555785,1.443456543,0.866616889,Alto
Alto Araguaia,5100300,Rondonopolis,1,8,1,0.013351956,0.36554787,1.945419477,0.683606793,NA,NA,NA
Aripuana,5101407,Juina,16,8,1,0.708355743,1.17314843,1.807329567,2.052648635,4.095238095,1.161259284,Muito alto
Barra do Garcas,5101803,Barra do Garcas,43,39,5,0.873921613,1.44735153,2.22976151,1.088998752,0.272570089,0.736518394,Moderado
Caceres,5102504,Caceres,13,19,4,0.548739724,1.032629113,1.741824941,1.652785833,6.738095238,1.454910078,Muito alto
Campo Novo do Parecis,5102637,Tangara da Serra,13,15,0,0.89621044,1.535393638,2.424441248,1.39998281,2.114285714,0.941153464,Alto
Campo Verde,5102678,Rondonopolis,41,22,0,1.106122288,1.535408556,2.063651576,1.520965581,NA,NA,NA
Campos de Julio,5102686,Pontes e Lacerda,9,1,0,1.229154847,2.478286576,4.379179729,6.608527997,NA,NA,NA
Canarana,5102702,Agua Boa,14,2,0,0.726965985,1.330458656,2.201453901,2.270729758,3.142857143,1.055439178,Alto
Confresa,5103353,Porto Alegre do Norte,94,29,3,1.067087672,1.381323686,1.751947568,1.373975631,1.327366225,0.853717965,Alto
Cuiaba,5103403,Baixada Cuiabana,709,253,13,1.099148918,1.228766534,1.36819547,1.130734686,0.352895757,0.745443469,Moderado
Guaranta do Norte,5104104,Peixoto de Azevedo,14,2,0,0.654880783,1.272337692,2.1932506,1.66443368,NA,NA,NA
Jaciara,5104807,Rondonopolis,12,33,0,0.42570388,0.858326528,1.516679374,0.944616963,-0.202825361,0.683696678,Moderado
Jangada,5104906,Baixada Cuiabana,3,6,1,0.142075597,0.984488094,3.268225591,1.300216294,-0.142857143,0.690359813,Moderado
Lucas do Rio Verde,5105259,Sinop,58,39,2,1.018644705,1.440956894,1.966533299,1.278695124,0.89018042,0.805141765,Alto
Matupa,5105606,Peixoto de Azevedo,20,0,0,0.797605254,1.4243349,2.316598132,2.388624765,NA,NA,NA
Nova Mutum,5106224,Sinop,23,27,1,1.399428173,2.133693618,3.088862067,1.46811657,1.295918367,0.850223759,Alto
Nova Ubirata,5106240,Sinop,17,2,0,0.139366428,0.400969105,0.879178067,1.413659425,NA,NA,NA
Novo Mundo,5106265,Peixoto de Azevedo,10,4,0,0.093794897,0.405405709,1.095311729,1.09655107,NA,NA,NA
Pedra Preta,5106372,Rondonopolis,13,1,0,1.316409764,2.654214523,4.690047772,1.634333554,NA,NA,NA
Peixoto de Azevedo,5106422,Peixoto de Azevedo,13,20,0,0.694141578,1.462195362,2.658783246,1.172117068,0.004081633,0.706686344,Moderado
Primavera do Leste,5107040,Rondonopolis,118,35,0,1.064126309,1.371732591,1.733605229,1.208005786,0.316292963,0.741376492,Moderado
Querencia,5107065,Agua Boa,9,17,1,0.903823649,1.654135164,2.737027785,1.774817026,3.404761905,1.084539707,NA
Rondonopolis,5107602,Rondonopolis,190,54,9,0.872692601,1.07863583,1.314691228,1.358666607,1.522717692,0.875423684,Alto
Rosario Oeste,5107701,Diamantino,13,31,1,0.427990617,0.950355036,1.787223413,0.950098066,-0.165909091,0.687798486,Moderado
Sapezal,5107875,Tangara da Serra,18,13,0,0.965087213,1.485389102,2.165953034,1.839046209,NA,NA,NA
Sinop,5107909,Sinop,48,32,3,1.418050448,1.977152839,2.666971885,1.591481793,2.826132201,1.020247518,Muito alto
Sorriso,5107925,Sinop,100,34,0,1.534255409,1.938771578,2.408846604,1.567503667,2.998436682,1.03939246,Muito alto
Tangara da Serra,5107958,Tangara da Serra,80,71,1,0.899600841,1.186925375,1.529783688,1.120734469,0.351106145,0.745244623,Moderado
Tapurah,5108006,Sinop,25,5,0,2.707782177,4.359324477,6.576521891,1.936493123,NA,NA,NA
Varzea Grande,5108402,Baixada Cuiabana,206,102,16,1.060222596,1.27321394,1.512990126,1.173724553,0.61251327,0.774289859,Alto
Vila Bela da Santissima Trindade,5105507,Pontes e Lacerda,12,2,0,1.387725671,2.611449229,4.404957544,2.35626463,2.714285714,1.007820131,Muito alto
Vila Rica,5108600,Porto Alegre do Norte,23,0,0,0.899176977,1.692088769,2.854192647,1.418167143,NA,NA,NA
