aglomerado,suscetiveis,leitos_uti,data,taxa_ocupacao,perc_atendimento,perc_uti,tm,regiao,mse
Acorizal,5399,0,2020-05-22,0.058,0.2,0.01,3.6,Baixada Cuiabana,1e+100
Agua Boa,24032,0,2020-05-22,0.058,0.2,0.01,3.6,Agua Boa,1e+100
Alta Floresta,51782,19,2020-05-22,0.058,0.2,0.01,3.6,Alta Floresta,7.85714285714286
Alto Araguaia,19044,0,2020-05-22,0.058,0.2,0.01,3.6,Rondonopolis,1e+100
Alto Boa Vista,6822,0,2020-05-22,0.058,0.2,0.01,3.6,Sao Felix do Araguaia,1e+100
Alto Garcas,12030,0,2020-05-22,0.058,0.2,0.01,3.6,Rondonopolis,1e+100
Alto Paraguai,11356,0,2020-05-22,0.058,0.2,0.01,3.6,Diamantino,1e+100
Aripuana,22354,0,2020-05-22,0.058,0.2,0.01,3.6,Juina,1e+100
Barra do Garcas,61012,10,2020-05-22,0.058,0.2,0.01,3.6,Barra do Garcas,528.285714285714
Bom Jesus do Araguaia,6580,0,2020-05-22,0.058,0.2,0.01,3.6,Sao Felix do Araguaia,1e+100
Caceres,94376,26,2020-05-22,0.058,0.2,0.01,3.6,Caceres,3.42857142857143
Campo Novo do Parecis,35360,0,2020-05-22,0.058,0.2,0.01,3.6,Tangara da Serra,1e+100
Campo Verde,44041,0,2020-05-22,0.058,0.2,0.01,3.6,Rondonopolis,1e+100
Canarana,21579,0,2020-05-22,0.058,0.2,0.01,3.6,Agua Boa,1e+100
Chapada dos Guimaraes,19752,0,2020-05-22,0.058,0.2,0.01,3.6,Baixada Cuiabana,4
Colider,33438,14,2020-05-22,0.058,0.2,0.01,3.6,Colider,1e+100
Confresa,30933,0,2020-05-22,0.058,0.2,0.01,3.6,Porto Alegre do Norte,32.0714285714286
Conquista do Oeste,4038,0,2020-05-22,0.058,0.2,0.01,3.6,Pontes e Lacerda,1e+100
Cotriguacu,19750,0,2020-05-22,0.058,0.2,0.01,3.6,Juina,1e+100
Cuiaba,612547,419,2020-05-22,0.058,0.2,0.01,3.6,Baixada Cuiabana,2921
Curvelandia,5219,0,2020-05-22,0.058,0.2,0.01,3.6,Caceres,1e+100
Dom Aquino,8178,0,2020-05-22,0.058,0.2,0.01,3.6,Rondonopolis,1e+100
Guaranta do Norte,35016,0,2020-05-22,0.058,0.2,0.01,3.6,Peixoto de Azevedo,1e+100
Ipiranga do Norte,7667,0,2020-05-22,0.058,0.2,0.01,3.6,Sinop,1e+100
Jaciara,27776,0,2020-05-22,0.058,0.2,0.01,3.6,Rondonopolis,5.21428571428571
Jangada,8409,0,2020-05-22,0.058,0.2,0.01,3.6,Baixada Cuiabana,18.1428571428571
Jauru,8793,0,2020-05-22,0.058,0.2,0.01,3.6,Pontes e Lacerda,1e+100
Juina,40997,16,2020-05-22,0.058,0.2,0.01,3.6,Juina,1e+100
Juscimeira,11221,0,2020-05-22,0.058,0.2,0.01,3.6,Rondonopolis,1e+100
Lambari do Oeste,6121,0,2020-05-22,0.058,0.2,0.01,3.6,Caceres,1e+100
Lucas do Rio Verde,65534,10,2020-05-22,0.058,0.2,0.01,3.6,Sinop,139.571428571429
Luciara,2077,0,2020-05-22,0.058,0.2,0.01,3.6,Sao Felix do Araguaia,1e+100
Matupa,16566,0,2020-05-22,0.058,0.2,0.01,3.6,Peixoto de Azevedo,1e+100
Mirassol do Oeste,27739,0,2020-05-22,0.058,0.2,0.01,3.6,Caceres,0.357142857142857
Nobres,15336,0,2020-05-22,0.058,0.2,0.01,3.6,Diamantino,1e+100
Nossa Senhora do Livramento,13216,0,2020-05-22,0.058,0.2,0.01,3.6,Baixada Cuiabana,1e+100
