aglomerado,suscetiveis,leitos_uti,leitos_atendimento,data,taxa_ocupacao,perc_atendimento,perc_uti,perc_mortalidade,perc_nao_detectados,inf_prob,act_rate,dias_rec,tm,regiao,mse
Acorizal,5399,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Baixada Cuiabana,1e+100
Agua Boa,24032,0,77,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Agua Boa,1e+100
Alta Floresta,51782,19,141,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.029612906,7.768812725,10.26155324,3.6,Alta Floresta,6.21428571428571
Alto Araguaia,19044,0,98,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,Rondonopolis,1e+100
Alto Boa Vista,6822,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sao Felix do Araguaia,1e+100
Alto Garcas,12030,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,Rondonopolis,1e+100
Alto Paraguai,11356,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Diamantino,1e+100
Aripuana,22354,0,33,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Juina,1e+100
Barra do Garcas,61012,10,114,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.029155641,7.256710701,10.01316715,3.6,Barra do Garcas,527.642857142857
Bom Jesus do Araguaia,6580,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sao Felix do Araguaia,1e+100
Caceres,94376,26,225,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.010135619,3.977371459,17.19999207,3.6,Caceres,8.21428571428571
Campo Novo do Parecis,35360,0,32,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Tangara da Serra,1e+100
Campo Verde,44041,0,67,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,Rondonopolis,1e+100
Canarana,21579,0,48,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Agua Boa,1e+100
Chapada dos Guimaraes,19752,0,2,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.010419353380898,6.02775347870412,20.6424978996409,3.6,Baixada Cuiabana,2
Colider,33438,14,113,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Colider,1e+100
Confresa,30933,0,53,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0381609664899547,5.54252233847527,10.3572819015224,3.6,Porto Alegre do Norte,83
Conquista do Oeste,4038,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Pontes e Lacerda,1e+100
Cotriguacu,19750,0,33,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Juina,1e+100
Cuiaba,612547,419,1898,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.036980711,5.277084777,14.43647743,3.6,Baixada Cuiabana,2887
Curvelandia,5219,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Caceres,1e+100
Dom Aquino,8178,0,20,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.033660158,5.827907827,12.74171193,3.6,Rondonopolis,1e+100
