"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Acorizal",5399,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.000578407792514323,11.2611426549929,0.131462630149785,3.6,"Baixada Cuiabana",73.3571428571429
"Agua Boa",24032,0,77,NA,0.058,0.2,0.01,0.005,0.6,0.0814749075002478,1.30186883605863,7.90716711709182,3.6,"Agua Boa",1.28571428571429
"Alta Floresta",51782,19,141,NA,0.058,0.2,0.01,0.005,0.6,0.0227481645220311,8.13352501774301,17.339970583882,3.6,"Alta Floresta",196.571428571429
"Alto Araguaia",19044,0,98,NA,0.058,0.2,0.01,0.005,0.6,0.0545234513046702,1.07815452520188,9.02472952116498,3.6,"Rondonopolis",7.07142857142857
"Alto Boa Vista",6822,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0335245249437616,7.52922436636702,13.9714840173028,3.6,"Sao Felix do Araguaia",76.0714285714286
"Alto Garcas",12030,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",18.0714285714286
"Alto Paraguai",11356,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Apiacas",10133,0,32,NA,0.058,0.2,0.01,0.005,0.6,0.017769391,8.009465604,12.36908887,3.6,"Alta Floresta",332.4285714
"Araputanga",16822,0,19,NA,0.058,0.2,0.01,0.005,0.6,0.01486817,11.68257726,25.79140772,3.6,"Caceres",8.571428571
"Arenapolis",9607,0,10,NA,0.058,0.2,0.01,0.005,0.6,0.0292775942707186,15.3825187152048,5.25621042066544,3.6,"Diamantino",9.5
"Aripuana",22354,0,33,NA,0.058,0.2,0.01,0.005,0.6,0.0341888956637836,4.63478907448497,4.4229364259222,3.6,"Juina",50.2857142857143
"Barao de Melgaco",8564,0,11,NA,0.058,0.2,0.01,0.005,0.6,0.018119372,5.225322236,58.71868991,3.6,"Baixada Cuiabana",2594.357143
"Barra do Bugres",34966,0,59,NA,0.058,0.2,0.01,0.005,0.6,0.0846890938585614,0.207505039860576,0.489970284602624,3.6,"Tangara da Serra",7.64285714285714
"Barra do Garcas",61012,20,114,NA,0.058,0.2,0.01,0.005,0.6,0.00394461971507325,4.04339896389078,0.000634968231234744,3.6,"Barra do Garcas",221.857142857143
"Bom Jesus do Araguaia",6580,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.00606174043253949,24.4573343902573,16.2365296701598,3.6,"Sao Felix do Araguaia",17.3571428571429
"Brasnorte",19695,0,31,NA,0.058,0.2,0.01,0.005,0.6,0.011999679,9.355964802,17.00140937,3.6,"Juina",2
