"Dia Juliano","Previsao","Limite inferior (95%)","Limite superior (95%)","Aglomerado"
"172",190.779136711903,178.442835266165,204.979049148105,"Agua Boa"
"173",204.055136404115,189.386166973352,220.409133904604,"Agua Boa"
"174",217.931076592859,200.765677545682,236.590714466477,"Agua Boa"
"175",232.420029554884,212.589756935569,253.541377532165,"Agua Boa"
"176",247.535058829282,224.866790140384,271.278697215658,"Agua Boa"
"177",263.289219411766,237.605157299894,289.820235345133,"Agua Boa"
"178",279.695557940609,250.813233789989,309.183541747942,"Agua Boa"
"179",296.76711287475,264.499390312923,329.386154522863,"Agua Boa"
"180",314.516914664571,278.671992984233,350.445600300432,"Agua Boa"
"181",332.957985915774,293.339403416541,372.379394492135,"Agua Boa"
"182",352.103341546769,308.509978800383,395.205041529141,"Agua Boa"
"183",371.96598893995,324.192071982229,418.940035091234,"Agua Boa"
"184",392.55892808721,340.394031539844,443.601858326521,"Agua Boa"
"185",413.895151730013,357.124201855098,469.207984062459,"Agua Boa"
"186",435.987645494324,374.39092318439,495.775875008719,"Agua Boa"
"172",125.427713137739,102.554959664815,146.177623933945,"Alta Floresta"
"173",130.939564823063,99.3735783029986,155.132087833031,"Alta Floresta"
"174",136.591276516233,96.8734185197788,164.421633393235,"Alta Floresta"
"175",142.386985113987,94.9018703037957,174.051160993141,"Alta Floresta"
"176",148.330571627251,93.3428274478068,184.025535740114,"Alta Floresta"
"177",154.425642071678,92.1071895167659,194.349588461655,"Alta Floresta"
"178",160.675534446282,91.1260757275925,205.028116649011,"Alta Floresta"
"179",167.083339080284,90.3459055965508,216.065885356262,"Alta Floresta"
"180",173.651924764212,89.7247842421966,227.467628057826,"Alta Floresta"
"181",180.383966281979,89.2298131911216,239.238047467073,"Alta Floresta"
"182",187.28197093403,88.8350672549965,251.38181631853,"Alta Floresta"
"183",194.348302839982,88.5200573776321,263.90357811593,"Alta Floresta"
"184",201.585204521004,88.2685526023544,276.807947848208,"Alta Floresta"
"185",208.994815670933,88.0676705367806,290.099512675375,"Alta Floresta"
"186",216.579189247445,87.907170677061,303.78283258603,"Alta Floresta"
"172",3320.89396215051,3208.3038658489,3408.3903332884,"Baixada Cuiabana"
"173",3494.28135325897,3322.10121151789,3607.92428455878,"Baixada Cuiabana"
"174",3673.48361225311,3434.05124802733,3824.17974990968,"Baixada Cuiabana"
"175",3858.59995564967,3544.06028947667,4056.08657045879,"Baixada Cuiabana"
"176",4049.73065708114,3652.04769445954,4297.32651764415,"Baixada Cuiabana"
"177",4246.97698845844,3757.94498633591,4548.09197579141,"Baixada Cuiabana"
"178",4450.44116184308,3861.69499890559,4808.57565701744,"Baixada Cuiabana"
"179",4660.22627252362,3963.25105118639,5078.97059581471,"Baixada Cuiabana"
"180",4876.4362436825,4062.57615406754,5359.4701438203,"Baixada Cuiabana"
"181",5099.17577294717,4159.64225081845,5650.26796476016,"Baixada Cuiabana"
"182",5328.55028104272,4254.42949276551,5951.55802955988,"Baixada Cuiabana"
"183",5564.66586269851,4346.9255508902,6263.5346116136,"Baixada Cuiabana"
"184",5807.629239908,4437.12496363532,6586.39228220353,"Baixada Cuiabana"
