"municipio","cod_ibge","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
"Alta Floresta",5100250,"Alta Floresta","12","23","3",0.0251086576277974,0.173986067777017,0.577585165887324,0.736610842388398,0.734885114885115,0.873093795922851
"Alto Araguaia",5100300,"Rondonopolis","1","8","1",0.0174869589258206,0.478755360002787,2.54790160097675,0.6405330567016,NA,NA
"Aripuana",5101407,"Juina","22","8","1",0.851383078811167,1.35361313011754,2.02301505442673,1.91942200421179,4.14285714285714,1.25175735458641
"Barra do Garcas",5101803,"Barra do Garcas","47","39","5",0.873535483353448,1.40632605028165,2.12159799155329,1.13798719630674,0.421109049680478,0.838229788677892
"Caceres",5102504,"Caceres","14","19","4",0.316184977103621,0.702090123458726,1.32034014556721,1.33223030095321,5.25757575757576,1.37561497844403
"Campo Novo do Parecis",5102637,"Tangara da Serra","12","16","0",0.781410085010825,1.33871691197492,2.11388169161328,1.35855205887351,0.9,0.89143989426895
"Campo Verde",5102678,"Rondonopolis","44","26","0",0.92113502880268,1.28431590014047,1.73240749458901,1.41764086795856,NA,NA
"Campos de Julio",5102686,"Pontes e Lacerda","9","1","0",0.86623749526176,1.74655354570228,3.08619348432232,6.36293051786627,NA,NA
"Canarana",5102702,"Agua Boa","14","2","0",0.478967576113205,0.965719589503754,1.70644496536778,1.84696237301365,3.25714285714286,1.15334465617371
"Colider",5103205,"Colider","6","4","0",0.257068589656209,0.866135855567312,2.06795314146963,1.21315528332034,NA,NA
"Confresa",5103353,"Porto Alegre do Norte","69","58","3",0.914228572355618,1.19138802084762,1.51962431707061,1.30679775020561,0.964937955775857,0.898655222688489
"Cuiaba",5103403,"Baixada Cuiabana","766","255","16",1.10918140628529,1.23481042440399,1.36958607906001,1.12726812698043,0.239829167706631,0.818087579569686
"Guaranta do Norte",5104104,"Peixoto de Azevedo","24","2","0",0.959002715885266,1.67552352285,2.68321314763494,1.50002233776663,NA,NA
"Jaciara",5104807,"Rondonopolis","14","34","0",0.587371074721968,1.10532634235963,1.8644496537128,0.964581335155711,-0.23670814479638,0.765138989291574
"Jangada",5104906,"Baixada Cuiabana","3","6","1",0.158877994977106,1.10091738125262,3.65473831556431,1.22165431774352,-0.214285714285714,0.767630370459426
"Juina",5105150,"Juina","7","5","1",0.764744392882182,1.81233460713839,3.54863937235042,1.78120726130375,NA,NA
"Lucas do Rio Verde",5105259,"Sinop","58","39","2",0.601603081671045,0.909182276568542,1.30723257186806,1.15270992205608,0.620835181898846,0.860421581146599
"Matupa",5105606,"Peixoto de Azevedo","19","8","0",1.27738289614298,2.03090982595181,3.03525509665152,2.34883027935852,NA,NA
"Nova Mutum",5106224,"Sinop","23","27","1",0.81604437305115,1.29742815615152,1.93904494093058,1.39059508184777,1.20617477760335,0.925459314002655
"Nova Ubirata",5106240,"Sinop","17","2","0",0.188781588577129,0.543140739805605,1.19090827706613,1.20699702206218,NA,NA
"Novo Mundo",5106265,"Peixoto de Azevedo","6","8","0",0.121432535589809,0.524862705459784,1.41805668926866,0.920018822706775,NA,NA
"Pedra Preta",5106372,"Rondonopolis","15","0","1",1.11707170119501,2.10212731060989,3.54584016152184,1.66964945285592,NA,NA
"Peixoto de Azevedo",5106422,"Peixoto de Azevedo","12","21","0",0.611495948800693,1.28810399547259,2.34222417269226,1.23243691828429,0.194557823129252,0.8130574301722
"Primavera do Leste",5107040,"Rondonopolis","123","38","0",0.977577520092898,1.2576219402098,1.58666160182785,1.22829034498793,0.319864391243638,0.826980382184909
"Querencia",5107065,"Agua Boa","9","17","1",0.619910031819374,1.20439463073919,2.07613062390191,1.79689902772794,4.08333333333333,1.24514359797265
"Rondonopolis",5107602,"Rondonopolis","211","54","9",1.01341014848347,1.23510655415864,1.48700354308209,1.32438426467043,1.45442280238837,0.953042427867658
"Rosario Oeste",5107701,"Diamantino","10","33","2",0.137915475414093,0.46467574452993,1.10944219603518,0.837075896604272,-0.269805194805195,0.761461539290594
"Sapezal",5107875,"Tangara da Serra","19","13","0",0.902309209034903,1.3757414899717,1.99160538648591,1.93708018374583,NA,NA
"Sinop",5107909,"Sinop","55","32","4",1.07857327757721,1.5038281756146,2.02850653933655,1.50452320822758,2.77256077256077,1.09950220233126
"Sorriso",5107925,"Sinop","100","34","0",0.892334316007354,1.1628562558958,1.48323183781865,1.42199594729347,2.83794016668581,1.10676657945626
"Tangara da Serra",5107958,"Tangara da Serra","80","71","1",0.852726020315313,1.12507915227208,1.45007240624632,1.11111234043984,0.194832852699008,0.813087989013284
"Tapurah",5108006,"Sinop","26","5","0",1.26022484456731,2.02886667101771,3.0607691960897,2.00037765902407,NA,NA
"Varzea Grande",5108402,"Baixada Cuiabana","222","107","17",1.03605220747232,1.23773925144933,1.46404900438298,1.16175379816464,0.460575973113758,0.8426150023927
"Vila Bela da Santissima Trindade",5105507,"Pontes e Lacerda","12","2","0",0.822870870593733,1.59871789044308,2.75586347416016,2.16734891179895,3.28571428571429,1.15651925934831
"Vila Rica",5108600,"Porto Alegre do Norte","21","2","0",0.746558844298732,1.40488899136812,2.36974791342571,1.42164035164088,NA,NA
