"cod_ibge","municipio","classificacao_epidemiologica","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
5100102,"Acorizal","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5100201,"Agua Boa","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5100250,"Alta Floresta","TRANSMISSAO COMUNITARIA","Alta Floresta","14","26","3",0.480345160024284,1.1383491856704,2.22894311229393,0.588426045239692,-0.218346177631892,1.12267975119
5100300,"Alto Araguaia","TRANSMISSAO LOCAL","Rondonopolis","0","8","2",0.0257668807826555,0.705441828826749,3.7543106881418,0.555746255071389,NA,NA
5100359,"Alto Boa Vista","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5100409,"Alto Garcas","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5100508,"Alto Paraguai","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5100607,"Alto Taquari","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5100805,"Apiacas","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5101001,"Araguaiana","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5101209,"Araguainha","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5101258,"Araputanga","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5101308,"Arenapolis","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5101407,"Aripuana","TRANSMISSAO LOCAL","Juina","26","9","1",0.436227432728996,0.820901289501719,1.3846852882168,1.19031365227236,3.03174603174603,1.48380110778754
5101605,"Barao de Melgaco","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
