"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Acorizal",5100102,"TRANSMISSAO LOCAL","5","6","1",0.53414738148222,1.79969166936287,4.29687561993146,0.946477316758243,-0.828571428571429,-0.414285714285714,"Muito baixo","Moderado","Moderado"
"Agua Boa",5100201,"TRANSMISSAO LOCAL","4","4","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Alta Floresta",5100250,"TRANSMISSAO COMUNITARIA","13","27","3",0.402158851930531,0.953058841234332,1.86613559927048,0.570710542483352,-0.815625089196518,-0.407812544598259,"Muito baixo","Moderado","Moderado"
"Alto Araguaia",5100300,"TRANSMISSAO LOCAL","0","8","2",0.0350454773409745,0.959469865058907,5.10622963105478,0.597496974704004,NA,NA,"Muito baixo","Moderado","Moderado"
"Alto Boa Vista",5100359,"TRANSMISSAO LOCAL","18","0","1",1.55290934692483,2.61368627958975,4.07439407688164,2.87318786397412,NA,NA,"Muito baixo","Moderado","Moderado"
"Alto Garcas",5100409,"CASOS ISOLADOS","2","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Alto Paraguai",5100508,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Alto Taquari",5100607,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Apiacas",5100805,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Araguaiana",5101001,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Araguainha",5101209,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Araputanga",5101258,"TRANSMISSAO LOCAL","9","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Arenapolis",5101308,"TRANSMISSAO LOCAL","3","4","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Aripuana",5101407,"TRANSMISSAO LOCAL","4","32","1",0.559322095446154,1.02364476380537,1.69378187559893,1.04029238254446,1.92857142857143,0.964285714285714,"Muito alto","Moderado","Muito alto"
"Barao de Melgaco",5101605,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Barra do Bugres",5101704,"CASOS ISOLADOS","5","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Barra do Garcas",5101803,"TRANSMISSAO COMUNITARIA","38","51","6",0.627483585652427,1.02399203818764,1.56046212855915,1.30430546511549,1.15592661306947,0.577963306534735,"Moderado","Moderado","Alto"
"Bom Jesus do Araguaia",5101852,"TRANSMISSAO LOCAL","8","2","0",0.806836026294041,2.32133609811275,5.08983799315868,1.2663658716565,NA,NA,"Muito baixo","Moderado","Moderado"
"Brasnorte",5101902,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Caceres",5102504,"TRANSMISSAO COMUNITARIA","23","22","5",0.840594141725221,1.41479564102146,2.20548082789822,1.17932703899089,0.563436563436563,0.281718281718282,"Baixo","Moderado","Moderado"
"Campinapolis",5102603,"CASOS ISOLADOS","3","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Campo Novo do Parecis",5102637,"TRANSMISSAO LOCAL","9","23","0",0.482060430548141,0.907150718557776,1.53016966868782,1.2120015630097,0.48531746031746,0.24265873015873,"Baixo","Moderado","Moderado"
"Campo Verde",5102678,"TRANSMISSAO COMUNITARIA","50","43","0",1.07732441711616,1.44182570460809,1.88056880207349,1.24732880674076,NA,NA,"Muito baixo","Moderado","Moderado"
"Campos de Julio",5102686,"TRANSMISSAO LOCAL","8","6","0",0.647197569038478,1.36330874501072,2.47897274492602,1.62893091974791,NA,NA,"Muito baixo","Moderado","Moderado"
"Canabrava do Norte",5102694,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Canarana",5102702,"TRANSMISSAO LOCAL","11","8","0",0.151018996747787,0.508825166582938,1.21485168282843,0.97606707743614,1.29010989010989,0.645054945054945,"Moderado","Moderado","Alto"
"Carlinda",5102793,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Castanheira",5102850,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Chapada Dos Guimaraes",5103007,"TRANSMISSAO LOCAL","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Claudia",5103056,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Cocalinho",5103106,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Colider",5103205,"TRANSMISSAO LOCAL","8","7","2",0.818708725939633,1.65072354407283,2.9168600405472,1.33894184140447,NA,NA,"Muito baixo","Moderado","Moderado"
"Colniza",5103254,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
