"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Acorizal",5100102,"TRANSMISSAO LOCAL","1","11","1",0.527662076652059,1.51812882199086,3.32869926201571,1.37759294686436,-0.542857142857143,-0.542857142857143,"Baixo","Alto","Alto"
"Agua Boa",5100201,"TRANSMISSAO LOCAL","2","6","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Alta Floresta",5100250,"TRANSMISSAO COMUNITARIA","35","30","3",3.06033615296222,4.4557897578644,6.22250531764647,1.27219199907919,1.45520408163265,1.45520408163265,"Moderado","Alto","Alto"
"Alto Araguaia",5100300,"TRANSMISSAO LOCAL","1","8","2",0.432892674249383,2.99965435343484,9.95801491159489,1.09398377284381,NA,NA,"Baixo","Alto","Alto"
"Alto Boa Vista",5100359,"TRANSMISSAO LOCAL","18","0","1",0.884847842458694,1.48927860466464,2.32158999840815,2.91394001970946,NA,NA,"Baixo","Alto","Alto"
"Alto Garcas",5100409,"CASOS ISOLADOS","6","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Alto Paraguai",5100508,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Alto Taquari",5100607,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Apiacas",5100805,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Araguaiana",5101001,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Araguainha",5101209,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Araputanga",5101258,"TRANSMISSAO LOCAL","9","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Arenapolis",5101308,"TRANSMISSAO LOCAL","6","4","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
