"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"ia_cat";"iv_cat";"risco";"to_uti"
"Acorizal";5100102;"TRANSMISSAO LOCAL";"0";"12";"1";0,0635596570924175;0,44042556837139;1,46208991454896;1,36390494023622;-0,152380952380952;-0,152380952380952;"Muito baixo";"Alto";"Alto";0,759
"Agua Boa";5100201;"TRANSMISSAO LOCAL";"3";"6";"1";0,344928905545705;1,16216179158359;2,77473344666825;1,4724141152816;0,928571428571429;0,928571428571429;"Baixo";"Alto";"Alto";0,759
"Alta Floresta";5100250;"TRANSMISSAO COMUNITARIA";"52";"48";"3";1,0805218339994;1,40488161002348;1,78847940883208;2,16160768364505;21,5523809523809;21,5523809523809;"Moderado";"Alto";"Alto";0,759
"Alto Araguaia";5100300;"TRANSMISSAO LOCAL";"3";"8";"2";0,648093378282052;2,18360754783981;5,21349862064589;1,95317320224951;-0,142857142857143;-0,142857142857143;"Baixo";"Alto";"Alto";0,759
"Alto Boa Vista";5100359;"TRANSMISSAO LOCAL";"6";"12";"1";0,0180777788230806;0,125266818250305;0,415850860495377;1,38401893040471;;;"Muito baixo";"Alto";"Alto";0,759
"Alto Garcas";5100409;"CASOS ISOLADOS";"6";"1";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Alto Paraguai";5100508;"CASOS ISOLADOS";"1";"1";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Alto Taquari";5100607;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Apiacas";5100805;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Araguaiana";5101001;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Araguainha";5101209;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Araputanga";5101258;"TRANSMISSAO LOCAL";"10";"0";"0";0,0877715854681625;0,608197907053925;2,01904723479513;0,917920009103285;;;"Muito baixo";"Alto";"Alto";0,759
"Arenapolis";5101308;"TRANSMISSAO LOCAL";"5";"8";"0";0,454666747364796;1,07749502792525;2,10978770948085;1,40594175021997;;;"Baixo";"Alto";"Alto";0,759
"Aripuana";5101407;"TRANSMISSAO LOCAL";"4";"39";"1";0,602002403604822;1,2681060322449;2,30586087202621;0,830700849720941;-0,476865291571174;-0,476865291571174;"Baixo";"Alto";"Alto";0,759
"Barao de Melgaco";5101605;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Barra do Bugres";5101704;"CASOS ISOLADOS";"3";"4";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Barra do Garcas";5101803;"TRANSMISSAO COMUNITARIA";"57";"52";"7";1,02194719430094;1,57290367628359;2,29356434981324;1,03668323360554;-0,041390240306649;-0,041390240306649;"Moderado";"Alto";"Alto";0,759
