"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"to_uti";"ia_cat";"iv_cat";"risco"
"Acorizal";5100102;"TRANSMISSAO LOCAL";"6";"12";"1";0,821874263113739;1,94772421167247;3,81373880783227;1,34929336520715;-0,0833333333333333;-0,0833333333333333;0,8;"Baixo";"Alto";"Alto"
"Agua Boa";5100201;"TRANSMISSAO LOCAL";"7";"8";"1";1,13638269692803;2,39376744060166;4,35270753206835;1,63614862212573;1,78571428571429;1,78571428571429;0,8;"Moderado";"Alto";"Alto"
"Alta Floresta";5100250;"TRANSMISSAO COMUNITARIA";"53";"53";"3";0,577988208530723;0,795612528074938;1,06205672783649;1,73062027157703;22,2904761904762;22,2904761904762;0,8;"Moderado";"Alto";"Alto"
"Alto Araguaia";5100300;"TRANSMISSAO LOCAL";"9";"8";"2";0,784763578190151;1,65308879404788;3,00589435840162;2,28956981155253;1;1;0,8;"Moderado";"Alto";"Alto"
"Alto Boa Vista";5100359;"TRANSMISSAO LOCAL";"7";"12";"1";0,0506308086658788;0,350837366088197;1,16468209713911;0,666580319535557;5,46488095238095;5,46488095238095;0,8;"Baixo";"Alto";"Alto"
"Alto Garcas";5100409;"CASOS ISOLADOS";"5";"3";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Alto Paraguai";5100508;"CASOS ISOLADOS";"2";"2";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Alto Taquari";5100607;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Apiacas";5100805;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Araguaiana";5101001;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Araguainha";5101209;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Araputanga";5101258;"TRANSMISSAO LOCAL";"6";"6";"0";-999;-999;-999;-999;;;0,8;"Muito baixo";"Alto";"Alto"
