;municipio;cod_ibge;classificacao_epidemiologica;infectados_n;recuperados_n;obitos_n;r_025;r_500;r_975;r_mm7;n_va;p_va;ia_cat;iv_cat;risco;to_uti
0;Acorizal;5100102;0;0,0;12;1;0,0635596570924175;0,44042556837139;1,46208991454896;1,36390494023622;-0,152380952380952;-0,152380952380952;Muito baixo;Alto;93,3074496797714;0,759
1;Agua Boa;5100201;0;1,0;6;1;0,34492890554570504;1,16216179158359;2,77473344666825;1,4724141152816002;0,9285714285714292;0,9285714285714292;Baixo;Alto;93,3074496797714;0,759
2;Alta Floresta;5100250;1;1,0;48;3;1,0805218339994;1,40488161002348;1,7884794088320801;2,16160768364505;21,5523809523809;21,5523809523809;Moderado;Alto;93,3074496797714;0,759
3;Alto Araguaia;5100300;0;1,0;8;2;0,6480933782820519;2,18360754783981;5,21349862064589;1,95317320224951;-0,14285714285714302;-0,14285714285714302;Baixo;Alto;93,3074496797714;0,759
4;Alto Boa Vista;5100359;0;1,0;12;1;0,0180777788230806;0,125266818250305;0,41585086049537706;1,38401893040471;;0,0;Muito baixo;Alto;93,3074496797714;0,759
5;Alto Garcas;5100409;0.5;1,0;1;0;;;;1,0;;0,0;Muito baixo;Alto;21,583822932682303;0,759
6;Alto Paraguai;5100508;0.5;1,0;1;0;;;;1,0;;0,0;Muito baixo;Alto;21,583822932682303;0,759
7;Alto Taquari;5100607;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
8;Apiacas;5100805;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
9;Araguaiana;5101001;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
10;Araguainha;5101209;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
11;Araputanga;5101258;0;1,0;0;0;0,0877715854681625;0,6081979070539251;2,01904723479513;0,9179200091032851;;0,0;Muito baixo;Alto;8,496219951996114;0,759
12;Arenapolis;5101308;0;1,0;8;0;0,454666747364796;1,07749502792525;2,10978770948085;1,40594175021997;;0,0;Baixo;Alto;45,41130885342853;0,759
13;Aripuana;5101407;0;1,0;39;1;0,602002403604822;1,2681060322448998;2,30586087202621;0,8307008497209409;-0,476865291571174;-0,476865291571174;Baixo;Alto;93,3074496797714;0,759
14;Barao de Melgaco;5101605;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
15;Barra do Bugres;5101704;0.5;1,0;4;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
16;Barra do Garcas;5101803;1;1,0;52;7;1,02194719430094;1,5729036762835902;2,29356434981324;1,03668323360554;-0,04139024030664901;-0,04139024030664901;Moderado;Alto;93,3074496797714;0,759
17;Bom Jesus do Araguaia;5101852;0;1,0;8;0;0,7525269984030419;1,34383576567478;2,1856709572338797;1,99824563123982;;0,0;Baixo;Alto;45,41130885342853;0,759
18;Brasnorte;5101902;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
19;Caceres;5102504;1;1,0;33;5;0,734627447151098;1,1545130939918602;1,71042242986074;1,29579781714342;0,7217044859901999;0,7217044859901999;Moderado;Alto;93,3074496797714;0,759
20;Campinapolis;5102603;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
21;Campo Novo do Parecis;5102637;0;1,0;41;0;0,8783980337398108;1,2708569199364699;1,7658687186487703;1,4178053786828202;0,7956305599162741;0,7956305599162741;Baixo;Alto;45,41130885342853;0,759
22;Campo Verde;5102678;1;1,0;76;0;-999,0;-999,0;-999,0;-999,0;0,546158045950631;0,546158045950631;Moderado;Alto;45,41130885342853;0,759
23;Campos de Julio;5102686;0;1,0;15;1;2,2882981716979103;3,68398695988466;5,55770074331941;1,39957448185096;;0,0;Baixo;Alto;93,3074496797714;0,759
24;Canabrava do Norte;5102694;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
25;Canarana;5102702;0;1,0;15;1;0,777265620152981;1,4225146630777499;2,35377509785508;1,20973332402807;0,0746903889761034;0,0746903889761034;Baixo;Alto;93,3074496797714;0,759
26;Carlinda;5102793;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
27;Castanheira;5102850;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
28;Chapada Dos Guimaraes;5103007;0;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;15,744785758125307;0,759
29;Claudia;5103056;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
30;Cocalinho;5103106;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
31;Colider;5103205;0;1,0;7;2;1,00109214788263;1,5563959809635401;2,28700823755869;1,60655093976102;;0,0;Baixo;Alto;93,3074496797714;0,759
32;Colniza;5103254;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
33;Comodoro;5103304;0;1,0;8;1;3,9523786814586606;8,77627413497112;16,504529378395;1,75189503396824;;0,0;Baixo;Alto;93,3074496797714;0,759
34;Confresa;5103353;1;1,0;151;4;0,965952977277326;1,22883112192337;1,53557871144475;1,06719315516891;0,0956989262932509;0,0956989262932509;Moderado;Alto;93,3074496797714;0,759
35;Conquista D'Oeste;5103361;0;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;15,744785758125307;0,759
36;Cotriguacu;5103379;0.5;1,0;4;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
37;Cuiaba;5103403;1;1,0;406;60;0,9975501912487371;1,08391437040778;1,1751252472343898;1,17424329856;0,5294752791671691;0,5294752791671691;Moderado;Alto;93,3074496797714;0,759
38;Curvelandia;5103437;0.5;1,0;3;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
39;Denise;5103452;0.5;1,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
40;Diamantino;5103502;0.5;1,0;0;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
41;Dom Aquino;5103601;0.5;1,0;6;1;-999,0;-999,0;-999,0;-999,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
42;Feliz Natal;5103700;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
43;Figueiropolis D'Oeste;5103809;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
44;Gaucha do Norte;5103858;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
