"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5398,3,0,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-17,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,0,-0.03,-0.6,"Baixada Cuiabana"
2,5397.09090909091,3.45454545454545,0.454545454545455,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-18,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,0,-0.0345454545454545,-0.690909090909091,"Baixada Cuiabana"
3,5395.81818181818,3.72727272727273,1.18181818181818,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-19,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,0,-0.0372727272727273,-0.745454545454545,"Baixada Cuiabana"
4,5395.45454545455,3.72727272727273,1.72727272727273,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-20,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,0,-0.0372727272727273,-0.745454545454545,"Baixada Cuiabana"
5,5394.27272727273,4.45454545454545,2.09090909090909,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-21,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,1,-0.0445454545454545,-0.890909090909091,"Baixada Cuiabana"
6,5392.81818181818,5.09090909090909,2.81818181818182,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-22,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,1,-0.0509090909090909,-1.01818181818182,"Baixada Cuiabana"
7,5391.72727272727,5.54545454545455,3.63636363636364,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-23,"Acorizal",0.058,0.2,0.01,0.005,0.6,2,1,-0.0554545454545455,-1.10909090909091,"Baixada Cuiabana"
8,5389.81818181818,6.36363636363636,4.54545454545455,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-24,"Acorizal",0.058,0.2,0.01,0.005,0.6,2,1,-0.0636363636363636,-1.27272727272727,"Baixada Cuiabana"
9,5388.09090909091,7.27272727272727,5.36363636363636,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-25,"Acorizal",0.058,0.2,0.01,0.005,0.6,2,2,-0.0727272727272727,-1.45454545454545,"Baixada Cuiabana"
10,5386.18181818182,8.09090909090909,6.63636363636364,0.0306,7.683,8.088,0.036,"17052020-154730",2020-05-26,"Acorizal",0.058,0.2,0.01,0.005,0.6,2,2,-0.0809090909090909,-1.61818181818182,"Baixada Cuiabana"
