"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Acorizal",5399,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.026017085,8.348382605,0.477411736,3.6,"Baixada Cuiabana",1.71428571428571
"Agua Boa",24032,0,77,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Agua Boa",1e+100
"Alta Floresta",51782,19,141,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0611246118594632,2.9845432834696,12.0526640969599,3.6,"Alta Floresta",15.1428571428571
"Alto Araguaia",19044,0,98,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0341123952465234,5.70356560632167,10.9006895898541,3.6,"Rondonopolis",4
"Alto Boa Vista",6822,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100
"Alto Garcas",12030,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",1e+100
"Alto Paraguai",11356,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Araputanga",16822,0,19,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.009779299,5.240894721,28.29453349,3.6,"Caceres",3.571428571
"Arenapolis",9607,0,10,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Aripuana",22354,0,33,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0202477338841741,14.1245820278953,16.6461063919149,3.6,"Juina",14.0714285714286
"Barra do Bugres",34966,0,59,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.051591803,1.597906366,0.83135002,3.6,"Tangara da Serra",290.7142857
"Barra do Garcas",61012,20,114,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.00339742509822114,2.5784652802072,0.823383347369463,3.6,"Barra do Garcas",98.7857142857143
"Bom Jesus do Araguaia",6580,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100
"Caceres",94376,26,225,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0113903048267287,5.67485028869843,27.1755562591864,3.6,"Caceres",7.14285714285714
"Campo Novo do Parecis",35360,0,32,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0233590667999711,7.86830256203233,0.849497853200586,3.6,"Tangara da Serra",1.35714285714286
"Campo Verde",44041,0,67,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0266989194113959,13.3852421812846,16.1902865471962,3.6,"Rondonopolis",33.1428571428571
"Campos de Julio",6891,0,16,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.012703974,20.32214124,14.51748441,3.6,"Pontes e Lacerda",9.571428571
"Canarana",21579,0,48,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.026618153,7.285567626,9.19421699,3.6,"Agua Boa",14
"Chapada dos Guimaraes",19752,0,2,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.013746252,3.470740813,29.39666826,3.6,"Baixada Cuiabana",1.21428571428571
"Colider",33438,14,113,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Colider",1e+100
"Colniza",38582,0,31,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Juina",1e+100
"Comodoro",20763,0,42,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.012703974,20.32214124,14.51748441,3.6,"Pontes e Lacerda",9.571428571
"Confresa",30933,0,53,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.030170534,5.342364116,30.32955559,3.6,"Porto Alegre do Norte",16.2142857142857
"Conquista do Oeste",4038,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",1e+100
"Cotriguacu",19750,0,33,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Juina",1e+100
