"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Acorizal",5399,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.000578408,11.26114265,0.13146263,3.6,"Baixada Cuiabana",87.6428571428571
"Agua Boa",24032,0,77,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.081474908,1.301868836,7.907167117,3.6,"Agua Boa",11.9285714285714
"Alta Floresta",51782,19,141,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0215470284963295,8.08594771300513,21.7119422882148,3.6,"Alta Floresta",389.071428571429
"Alto Araguaia",19044,0,98,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.054523451,1.078154525,9.024729521,3.6,"Rondonopolis",21
"Alto Boa Vista",6822,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0384719472592092,5.9569596462094,15.2442785781602,3.6,"Sao Felix do Araguaia",98.5
"Alto Garcas",12030,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",22.2142857142857
"Alto Paraguai",11356,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Araputanga",16822,0,19,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0150730407786767,11.0389526392572,27.313653182312,3.6,"Caceres",169.928571428571
"Arenapolis",9607,0,10,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0245741202693994,9.04990689470967,19.0649543263875,3.6,"Diamantino",148.571428571429
"Aripuana",22354,0,33,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0156750474348829,8.22304872755145,4.72508053175905,3.6,"Juina",70.5714285714286
"Barao de Melgaco",8564,0,11,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.018119372,5.225322236,58.71868991,3.6,"Baixada Cuiabana",2594.357143
"Barra do Bugres",34966,0,59,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0889187744874518,0.197517590120892,0.453255806846962,3.6,"Tangara da Serra",15
"Barra do Garcas",61012,20,114,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.004238438809321,4.22582574633482,0.000726852620955716,3.6,"Barra do Garcas",176.428571428571
"Bom Jesus do Araguaia",6580,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0065178054027627,24.4396138989336,18.6808772824238,3.6,"Sao Felix do Araguaia",33.9285714285714
"Brasnorte",19695,0,31,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.011999679,9.355964802,17.00140937,3.6,"Juina",2
"Caceres",94376,26,225,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.007697951,19.86185279,20.79477375,3.6,"Caceres",30.9285714285714
"Campinapolis",15980,0,24,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.000920536,1.013761257,0.002561003,3.6,"Barra do Garcas",237.1428571
"Campo Novo do Parecis",35360,0,32,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00266511332547185,37.9744456061392,0.012268911929026,3.6,"Tangara da Serra",662.785714285714
"Campo Verde",44041,0,67,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0950463135838307,1.38852750784276,12.2497175427397,3.6,"Rondonopolis",53.7142857142857
"Campos de Julio",6891,0,16,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0188202178967527,9.51291604146222,11.576692438557,3.6,"Pontes e Lacerda",36.6428571428571
"Cana Brava do Norte",4743,0,9,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0326966710642217,3.98351696708673,18.6254670465967,3.6,"Porto Alegre do Norte",31.7857142857143
"Canarana",21579,0,48,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0290874282711053,3.10836200082382,11.2132753935818,3.6,"Agua Boa",21.3571428571429
"Castanheira",8729,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.021835574,3.896483616,12.13136724,3.6,"Juina",1.928571429
"Chapada dos Guimaraes",19752,0,2,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0818515410673504,2.55601088227638,11.5157981742735,3.6,"Baixada Cuiabana",9.42857142857143
"Claudia",12149,0,23,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.013002357,6.56836148,0.778223689,3.6,"Sinop",409.6428571
"Colider",33438,14,113,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0564210191145504,5.83728964331712,8.29095147272953,3.6,"Colider",69.2857142857143
"Colniza",38582,0,31,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Juina",1e+100
"Comodoro",20763,0,42,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00374055996888986,22.7982373614997,11.5570030057681,3.6,"Pontes e Lacerda",5.21428571428571
"Confresa",30933,0,53,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0423057338384396,3.24990690198663,9.08523460231157,3.6,"Porto Alegre do Norte",316.428571428571
"Conquista do Oeste",4038,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0286127481396097,0.020023860174804,49.056271022008,3.6,"Pontes e Lacerda",0.142857142857143
"Cotriguacu",19750,0,33,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0170264412611736,8.86958036396138,18.3722151232375,3.6,"Juina",1.78571428571429
"Cuiaba",612547,419,1898,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.011917025,6.917962399,62.20009107,3.6,"Baixada Cuiabana",3077.07142857143
"Curvelandia",5219,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",3.57142857142857
"Denise",9462,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.041736166,3.559643653,0.983200816,3.6,"Tangara da Serra",239.2142857
"Diamantino",22041,0,46,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0303706104824959,10.5076710885377,7.56578875502812,3.6,"Diamantino",10.6428571428571
"Dom Aquino",8178,0,20,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.044526002025853,5.90949075984714,12.8170608924647,3.6,"Rondonopolis",6.28571428571429
"Feliz Natal",14192,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.016811648,6.61415328,0.605459625,3.6,"Sinop",43.92857143
"Figueiropolis do Oeste",3494,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.006687072,21.07375913,19.56885525,3.6,"Pontes e Lacerda",14.28571429
"Gaucha do Norte",7648,0,17,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.084144217,1.842648379,68.39961682,3.6,"Agua Boa",0.642857143
"General Carneiro",5540,0,15,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.000681687,0.571260861,0.004080071,3.6,"Barra do Garcas",425.4285714
"Guaranta do Norte",35016,0,48,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0186413050146405,5.00370626369739,15.261594820036,3.6,"Peixoto de Azevedo",31.1428571428571
"Guiratinga",15141,0,22,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.037682064,6.415540184,20.44609349,3.6,"Rondonopolis",33.7857142857143
"Indiavai",2752,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.007697951,19.86185279,20.79477375,3.6,"Caceres",14.5
"Ipiranga do Norte",7667,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",7
"Itanhanga",6737,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.026663023,6.941391743,8.402639483,3.6,"Sinop",53.85714286
"Itauba",3802,0,16,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.096965831,1.441592123,21.41825256,3.6,"Colider",3.714285714
"Itiquira",13345,0,35,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00599088138246139,6.80373835443752,52.3953148381454,3.6,"Rondonopolis",6.07142857142857
"Jaciara",27776,0,60,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0296921463661884,4.41377843780194,9.74190666168088,3.6,"Rondonopolis",115.357142857143
