"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Acorizal",5399,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.000578408,11.26114265,0.13146263,3.6,"Baixada Cuiabana",87.6428571428571
"Agua Boa",24032,0,77,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0959790118649874,2.65852135758895,10.6745119510025,3.6,"Agua Boa",2.14285714285714
"Alta Floresta",51782,19,141,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0229444800801809,9.70333946366918,15.8288766888574,3.6,"Alta Floresta",298.642857142857
"Alto Araguaia",19044,0,98,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.054523451,1.078154525,9.024729521,3.6,"Rondonopolis",21
"Alto Boa Vista",6822,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.046074796039553,4.6239025118496,15.006717126017,3.6,"Sao Felix do Araguaia",97.7142857142857
"Alto Garcas",12030,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",22.2142857142857
"Alto Paraguai",11356,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Araputanga",16822,0,19,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00849877538107028,4.49495477412053,30.7632850025941,3.6,"Caceres",8.35714285714286
"Arenapolis",9607,0,10,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0202709969433483,9.60353849085343,7.34271614606617,3.6,"Diamantino",7.78571428571429
"Aripuana",22354,0,33,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0272099021479078,3.61241263473155,2.26609660169848,3.6,"Juina",45.8571428571429
"Barao de Melgaco",8564,0,11,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.018119372,5.225322236,58.71868991,3.6,"Baixada Cuiabana",2594.357143
"Barra do Bugres",34966,0,59,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.084689094,0.20750504,0.489970285,3.6,"Tangara da Serra",15.7142857142857
"Barra do Garcas",61012,20,114,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0030610753239689,13.0228427185466,0.000768735175241763,3.6,"Barra do Garcas",108.857142857143
"Bom Jesus do Araguaia",6580,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00550589017109862,30.2049095414144,14.755598607828,3.6,"Sao Felix do Araguaia",33.3571428571429
"Brasnorte",19695,0,31,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.011999679,9.355964802,17.00140937,3.6,"Juina",2
"Caceres",94376,26,225,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00786521535587961,21.8827799927083,19.6419042957125,3.6,"Caceres",19.2857142857143
"Campinapolis",15980,0,24,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.000920536,1.013761257,0.002561003,3.6,"Barra do Garcas",237.1428571
"Campo Novo do Parecis",35360,0,32,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00170158236796619,41.71636436747,0.00481353253507492,3.6,"Tangara da Serra",670.571428571429
"Campo Verde",44041,0,67,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.13342699031296,1.07218441727626,13.8265443180381,3.6,"Rondonopolis",45.1428571428571
"Campos de Julio",6891,0,16,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0295773073325561,6.89451260098321,9.04610541099431,3.6,"Pontes e Lacerda",25.7857142857143
"Cana Brava do Norte",4743,0,9,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0431324563039502,3.099006301631,27.7407957032066,3.6,"Porto Alegre do Norte",28
